row_key,team_id,athlete_id,player,short_name,jersey,position
athlete_4845373,25,4845373,Dai Dai Ames,D. Ames,7,G
athlete_4684627,25,4684627,Chris Bell,C. Bell,22,F
athlete_5311533,25,5311533,Luke Butler,L. Butler,15,G
athlete_4684155,25,4684155,John Camden,J. Camden,2,F
athlete_5107343,25,5107343,DeJuan Campbell,D. Campbell,1,G
athlete_5164560,25,5164560,Semetri Carr,S. Carr,3,G
athlete_5311532,25,5311532,Jorell Clark,J. Clark,6,G
athlete_4703253,25,4703253,Nolan Dorsey,N. Dorsey,21,G
athlete_4683672,25,4683672,Lee Dort,L. Dort,34,F
athlete_5245385,25,5245385,BJ Fisher,B. Fisher,26,G
athlete_4897890,25,4897890,Milos Ilic,M. Ilic,8,C
athlete_5239840,25,5239840,Mantas Kocanas,M. Kocanas,17,C
athlete_5176804,25,5176804,Dhiaukuei Manyiel Dut,D. Manyiel Dut,12,F
athlete_5238159,25,5238159,Stephon Marbury II,S. Marbury II,30,G
athlete_5113388,25,5113388,Rytis Petraitis,R. Petraitis,31,F
athlete_5196370,25,5196370,Justin Pippen,J. Pippen,10,G
athlete_5041956,25,5041956,Jovani Ruff,J. Ruff,0,G
athlete_5061606,25,5061606,Sammie Yeanay,S. Yeanay,23,F
